separation_nm,F_vdW_nN,F_electrostatic_nN,F_total_nN,U_vdW_aJ,U_electrostatic_aJ,U_total_aJ,diameter_nm,zeta_particle_mV,zeta_substrate_mV,ionic_strength_mM,temperature_C,eps_r_water,debye_length_nm,hamaker_J
0.3,-0.4444444444444445,0.17261140454451634,-0.27183303989992813,-0.13333333333333336,1.6584111567718365,1.5250778234385032,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3029235741262497,-0.43590700351290956,0.17255888816269696,-0.26334811535021263,-0.13204650749079427,1.657906591307275,1.5258600838164809,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.30587563920473837,-0.42753356035110834,0.17250587620798147,-0.2550276841431269,-0.13077210105387288,1.6573972644909245,1.5266251634370516,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3088564728868352,-0.4193209646861792,0.1724523641633351,-0.24686860052284407,-0.12950999416047848,1.6568831329241407,1.5273731387636622,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3118663555296909,-0.4112661267596134,0.17239834747367458,-0.23886777928593877,-0.12826006810533253,1.6563641528427189,1.5281040847373863,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.31490557022260557,-0.4033660161648228,0.17234382154560998,-0.23102219461921283,-0.12702220532880426,1.6558402801144116,1.5288180747856075,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3179744028136547,-0.3956176607070324,0.17228878174718612,-0.2233288789598463,-0.1257962894058537,1.6553114702364462,1.5295151808305927,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.32107314193657366,-0.3880181452850763,0.17223322340762334,-0.21578492187745293,-0.12458220503508137,1.6547776783330337,1.5301954732979521,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.32420207903790527,-0.3805646107946723,0.1721771418170586,-0.2083874689776137,-0.123379838027884,1.6542388591528785,1.5308590211249944,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.32736150840441053,-0.37325425305276516,0.17212053222628532,-0.20113372082647984,-0.12218907529771476,1.6536949670666836,1.531505891768969,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.33055172719074793,-0.3660843217425303,0.1720633898464936,-0.1940209318960367,-0.12100980484944686,1.6531459560646518,1.532136151215205,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3337730354474214,-0.359052119378645,0.17200570984900998,-0.187046409529635,-0.11984191576884025,1.6525917797539857,1.5327498639851453,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.33702573614900105,-0.35215500029243546,0.1719474873650369,-0.18020751292739853,-0.11868529821210974,1.6520323913563841,1.5333470931442743,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3403101352226194,-0.34539036963651737,0.17188871748539208,-0.17350165215112529,-0.11753984339559372,1.6514677437055392,1.5339279003099455,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.343626541576744,-0.3387556824085587,0.17182939526024768,-0.166926287148311,-0.11640544358552286,1.6508977892446297,1.534492345659107,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3469752671302322,-0.3322484424937926,0.1717695156988694,-0.1604789267949232,-0.11528199208788728,1.6503224800238143,1.535040487935927,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3503566268416673,-0.3258662017259258,0.17170907376935543,-0.15415712795657036,-0.11416938323840169,1.649741767697724,1.535572384459322,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.353770938738982,-0.3196065589660837,0.17164806439837574,-0.147958494567708,-0.11306751239256725,1.6491556035229558,1.5360880911303885,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3572185239493699,-0.31346715919944945,0.17158648247091066,-0.1418806767285388,-0.11197627591582951,1.6485639383555641,1.5365876624397345,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3606997067294882,-0.30744569264925653,0.1715243228299905,-0.135921369819266,-0.1108955711738312,1.6479667226485546,1.5370711514747235,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.36421481449595555,-0.3015398939077988,0.1714615802764344,-0.1300783136313644,-0.10982529652275907,1.6473639064493797,1.5375386099266206,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3677641778561463,-0.2957475410841357,0.1713982495685899,-0.12434929151554577,-0.10876535129978403,1.646755439397433,1.5379900880976491,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.37134813063928546,-0.2900664549681675,0.1713343254220726,-0.11873212954609488,-0.10771563581359347,1.6461412707215497,1.5384256349079564,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.37496700992784615,-0.2844944982107689,0.1712698025095058,-0.11322469570126309,-0.10667605133501501,1.6455213492375056,1.5388452979024907,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.3786211560892537,-0.27902957451967153,0.17120467546026097,-0.10782489905941053,-0.1056465000877306,1.6448956233455219,1.5392491232577912,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
